Protein.Group,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log10_p_value
PP_0480,-0.8734537265080536,5.90462494290939,-0.8726825707190264,7.137666797484936,-0.5655033271578751,5.838189733550928,-0.6718176296604613,6.47661736745785
PP_0482,,,,,-2.420140103508376,7.874101839731876,,
PP_0490,2.340313280226935,2.2362744674527577,1.9297287539386934,2.1592737702879563,1.695112908170759,3.0214624078800614,,
PP_0492,,,2.077643674403444,2.9356571728927,,,,
PP_0500,,,,,,,0.4982782402842625,2.101770001695969
PP_0504,,,,,0.8056705127268579,1.4799807679149612,,
PP_0510,,,,,,,1.2695853838700133,1.6640901798896297
PP_0518,,,,,-0.17871594910076727,1.378799466794202,,
PP_0528,-5.84601034204511,5.307554827668143,-5.872173337274677,5.3068285944183184,,,,
PP_0536,,,,,3.2290938396091415,1.6883927248085455,,
PP_0538,-0.8444816214173543,1.4896103271502277,-0.9891047990077324,3.6882208499962195,-1.456167639454031,2.931123755854762,-0.8727417576896743,3.878795784980812
PP_0541,-1.1145650490849823,3.144923857642225,-1.1064398399493527,3.5087185265694067,-0.9914792175297058,3.234839273892847,,
PP_0542,,,0.8436965570986343,2.1070063488521535,0.5174081854897049,2.2632880637290813,0.6201193819396433,1.4603510811010714
PP_0543,,,1.2280992623629576,3.72383848971708,,,,
PP_0544,3.4775878331891295,1.3980206288663672,,,2.9728459409577805,1.5295851419681914,,
PP_0545,,,,,,,1.1930525292050715,4.259735824885681
PP_0547,,,,,0.7402824240332474,2.238192201586904,,
PP_0550,,,1.3068998029714274,3.0720588401056506,,,,
PP_0558,0.2012859912359706,1.729505549257945,,,,,,
PP_0559,,,,,-0.18813876896850912,1.460614034101284,,
PP_0560,,,,,-4.649015280510542,2.5243205071392296,,
PP_0564,0.4901978956262262,2.8587552403081062,0.24271804105908798,1.3019640209758254,,,0.2787521828507062,2.2770181297175136
PP_0567,,,,,0.2636123699641667,2.2784736606845106,,
PP_0570,1.556147721948133,1.466708287089042,,,,,,
PP_0581,0.8938660427519188,2.4262745217433697,0.952156199678913,1.8037922227537146,,,1.0427065399184148,2.295881243891221
PP_0592,,,0.4847403514435372,1.391705913687183,,,0.49789990733998146,1.3316841591923554
PP_0596,,,-3.842912074749604,2.0632808929194173,-4.960658665336766,2.1658258423118317,,
PP_0597,-0.4830584129992225,2.1683253163026164,,,,,,
PP_0599,2.347496428078294,1.7281132626039215,1.9004914386284864,2.6062374625074716,,,2.135124248714183,2.0844658551815107
PP_0602,,,1.1298069867229823,3.4823612830167248,,,,
PP_0605,,,,,-0.6409639449679952,1.9834373283995617,,
PP_0612,,,1.3610968406491426,4.379400621511305,2.4732698253089547,1.7110498407525854,,
PP_0622,,,,,,,0.37795817997451503,2.8753913691451847
PP_0625,,,,,0.40148676774711356,6.278166291456266,0.38301703396200537,1.3266446074024316
PP_0626,2.9618466432915946,1.5682433647620673,3.356193065318329,2.045386990430678,2.882173122724761,5.706121029702304,,
PP_0657,0.6251939290023096,1.5494666570388576,,,0.7413616885686419,3.706874036170155,0.973158318442693,5.367716740319137
PP_0671,,,,,-0.6055470592101675,6.7565942697468,,
PP_0674,,,,,-0.4304359049620694,2.694899241849077,,
PP_0684,-0.45364546021856367,5.413212994405062,-0.44182769534175076,1.4022973864197588,-0.39618653255592534,2.254787643157079,-0.38240127385460676,4.466183397602931
PP_0688,-0.595919369337911,7.195079877545035,-0.6528975354559947,4.062088679509645,-0.49653337655901714,6.401891411210986,-0.44305579315623167,6.094060352994904
PP_0689,-2.572473801727464,3.4875050359876183,-1.3890390440235854,1.9693646673488692,,,-1.279051053400146,2.383001140944417
PP_0690,-0.5195197236413849,6.519016669404428,-0.2725977223612204,3.9711595994526956,,,,
PP_0691,,,,,0.2963364470226166,1.8274055513637855,,
PP_0693,,,,,1.1276620635424472,1.5354707499995632,,
PP_0711,4.418510245942917,1.6351889825392694,4.058491476297636,2.2590088227979557,3.422355417278146,4.57511653348321,,
PP_0712,,,,,,,0.4150587507413798,2.764282175859125
PP_0719,,,,,-0.6463702419604668,2.6429448063722782,,
PP_0721,-0.6662516891162941,3.3104538290705747,-0.6037365869231928,2.8372161184237643,-0.7114662551514471,4.441876631825505,-0.4262204919129918,2.891168309068441
PP_0724,,,,,3.1192999623687716,1.6301627522269828,,
PP_0725,0.9992293803223093,5.9835168245953145,0.7142522332671668,1.368230266053443,,,,
PP_0733,,,,,,,-1.6876786778125483,1.6951194325431709
PP_0734,,,,,,,-3.329910197867382,2.197833154304445
PP_0735,,,,,-0.3295638404958429,1.5709072926295553,,
PP_0742,1.3828266573223802,2.318864990777541,,,1.1226131069916276,2.5698391517516823,1.1231732545784507,4.08616102166912
PP_0749,1.4785047530370252,2.0776393533364175,,,0.7873672248767954,2.5043219606502194,,
PP_0750,0.5637282522125002,1.604619400832875,,,,,,
PP_0751,-7.215602200550439,12.822697857618312,-3.825276174115599,4.894977930118197,-1.8520111627734699,2.816574515949738,-2.4477397747739973,2.753064958711268
PP_0756,,,,,0.9345746572042106,2.370365878333509,,
PP_0763,,,,,0.6595790791894311,3.0336681736616344,,
PP_0765,,,2.3648185203220824,7.234165256365043,,,,
PP_0766,1.738340819805985,6.158829663582779,1.6368789975785891,2.7548319348940833,1.2886314851174963,2.294867639861956,,
PP_0772,,,,,,,0.6963459271689966,1.5848607626125761
PP_0773,,,-0.73654208922953,2.7471272142434806,-0.3660431734469152,1.5154447715490793,,
PP_0776,-0.4026144057340153,1.7183708163876337,,,,,-0.5022265264138583,2.1723046999397737
PP_0786,,,,,0.36749561787400514,1.3493800337558386,,
PP_0787,1.5135804750631394,1.3581179786441386,,,,,,
PP_0790,,,,,2.6644951369433096,2.409813200609886,0.5164155694228142,1.4661060168534774
PP_0792,,,,,,,0.5531482916854139,1.405011263136625
PP_0797,,,,,1.281902215359851,5.1824790900000055,,
PP_0799,,,,,0.7949359746881969,2.2512779395506186,,
PP_0812,-5.074905893195771,9.622235949858121,-2.398936061250538,8.61613182853409,-3.6275449850446293,8.90368289820587,-2.30808896873928,3.6090457169659995
PP_0813,-3.4174029770903416,2.9403458582943918,-2.8575454855766127,3.6158477901818604,-1.8521003853745301,2.8310649318669943,-1.8150944290520477,2.2564220127534345
PP_0823,0.984091812853727,1.4719052114538185,,,2.2369495588842043,2.261546167468696,-3.3675428569255974,2.644707709360272
