original,extracted,locus,primary_name,organism,is_putida
sp|Q88CE7,Q88CE7,PP_5234,glnK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CE8,Q88CE8,PP_5233,amtB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CE9,Q88CE9,PP_5232,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF0,Q88CF0,PP_5231,had,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF2,Q88CF2,PP_5229,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF3,Q88CF3,PP_5228,dapF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF4,Q88CF4,PP_5227,lysA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF5,Q88CF5,PP_5226,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF6,Q88CF6,PP_5225,cyaY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CF8,Q88CF8,PP_5223,rnk,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CG0,Q88CG0,PP_5221,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CG1,Q88CG1,PP_5220,elbB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CG3,Q88CG3,PP_5218,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88CG4,Q88CG4,PP_5217,ppk,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
