strain,value
PP_0103,188.11747
PP_0999_PP_4120_PP_4191,286.5191
PP_0814_PP_4120,286.5158
PP_0103,170.5352
PP_0813_PP_4189_PP_4192,286.2883
PP_0104,143.59987
PP_0437_PP_0814,285.6786
PP_0104,133.63573
PP_0814_PP_1769,285.0732
PP_0751_PP_0813_PP_4191,284.9774
PP_0814_PP_1769,283.939
PP_0104,114.00867
PP_1317_PP_4191,282.3137
PP_0751_PP_4189,282.1882
PP_0815_PP_1317_PP_2136,281.9692
PP_0813_PP_4189,281.059
PP_4189_PP_4192,280.5267
PP_0812_PP_4121,280.4623
PP_1769_PP_4192,280.0517
PP_0368_PP_0528_PP_0751_PP_0815,279.7427
PP_2136_PP_4189,279.3125
PP_0368_PP_4191_PP_4192,277.592
PP_0814_PP_4120,277.5037
PP_0368_PP_0437,277.3986
PP_0813_PP_4189_PP_4191,276.7185
PP_0814_PP_1769,275.3867
PP_0751_PP_0815_PP_4120,274.4607
PP_0815_PP_1317_PP_2136,273.8799
PP_0368_PP_0597,272.8678
PP_0813_PP_4189_PP_4191,272.8145
PP_0105,153.23733
PP_1769_PP_4192,272.5027
PP_1319_PP_1457_PP_4192,272.1737
PP_0815_PP_1317_PP_4192,271.927
PP_0815_PP_1317_PP_4192,271.8173
PP_0368_PP_0597,270.8708
PP_0813_PP_4189_PP_4191,270.6158
PP_0813_PP_0814_PP_1769,270
PP_0813_PP_1317,269.9419
PP_0105,149.14173
PP_0105,132.12667
PP_1317_PP_4191,269.4684
PP_1319_PP_1457_PP_4192,269.441
PP_0437_PP_4116,269.1809
PP_1319_PP_1457_PP_4192,268.6526
PP_0813_PP_0814_PP_1769,268.4287
PP_0528_PP_0815_PP_1317_PP_1769,268.2475
PP_1317_PP_4191,267.2375
PP_0813_PP_4120,266.549
PP_0437_PP_4116,266.2137
PP_1317_PP_4189,266.1301
PP_0106,134.86047
PP_0813_PP_0815_PP_1317,265.6001
