orig,has_6letter_substring,extracted,locus,primary_name,organism,is_putida
sp|Q88C66|UBIC_PSEPK Ubic,True,Q88C66,PP_5317,ubiC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C69|Q88C69_PSEPK Rubb,True,Q88C69,PP_5314,alkT,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C70|Q88C70_PSEPK Hupa,True,Q88C70,PP_5313,hupA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C72|Q88C72_PSEPK Pp_5311,True,Q88C72,PP_5311,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C73|Q88C73_PSEPK Recg,True,Q88C73,PP_5310,recG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C74|Q88C74_PSEPK Pp_5309,True,Q88C74,PP_5309,oxyR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C75|Q88C75_PSEPK Tonb,True,Q88C75,PP_5308,tonB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C76|Q88C76_PSEPK Exbd,True,Q88C76,PP_5307,exbD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C77|Q88C77_PSEPK Exbb,True,Q88C77,PP_5306,exbB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C78|Q88C78_PSEPK Pp_5305,True,Q88C78,PP_5305,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C79|Q88C79_PSEPK Pp_5304,True,Q88C79,PP_5304,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C80|Q88C80_PSEPK Pp_5303,True,Q88C80,PP_5303,ridA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C81|Q88C81_PSEPK Spot,True,Q88C81,PP_5302,spoT,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C82|RPOZ_PSEPK Rpoz,True,Q88C82,PP_5301,rpoZ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C83|Q88C83_PSEPK Pp_5300,True,Q88C83,PP_5300,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C84|Q88C84_PSEPK Pp_5299,True,Q88C84,PP_5299,puuA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C87|KGUA_PSEPK Gmk,True,Q88C87,PP_5296,gmk,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C88|Q88C88_PSEPK Pp_5295,True,Q88C88,PP_5295,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C89|RNPH_PSEPK Rph,True,Q88C89,PP_5294,rph,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C90|Q88C90_PSEPK Pp_5293,True,Q88C90,PP_5293,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C91|Q88C91_PSEPK Crc,True,Q88C91,PP_5292,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C92|PYRE_PSEPK Pyre,True,Q88C92,PP_5291,pyrE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C93|ALGC_PSEPK Algc,True,Q88C93,PP_5288,algC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C95|DUT_PSEPK Dut,True,Q88C95,PP_5286,dut,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C96|Q88C96_PSEPK Coabc,True,Q88C96,PP_5285,dfp,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C98|Q88C98_PSEPK Pp_5283,True,Q88C98,PP_5283,dppA-IV,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C99|RL28_PSEPK Rpmb,True,Q88C99,PP_5282,rpmB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88CA0|RL33_PSEPK Rpmg,True,Q88CA0,PP_5281,rpmG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
