Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_4689,,,,,2.9666244658816185,3.201896376705906,,,,,,,,,,,,,,,,,,,,,,
PP_4701,,,,,1.2168701708171168,4.574267843085737,,,,,,,,,,,,,,,,,,,,,,
PP_4729,,,,,1.3027345479888712,3.8998862093469895,,,,,,,,,,,,,,,,,,,,,,
PP_4863,,,,,2.0244214398925577,1.4717723489193553,1.967311528273703,1.44195305887484,2.492230726334391,3.034089293499968,2.2430835321392206,1.8784917989865493,,,,,2.142747378168355,1.4590338851721838,1.8277363954639698,3.3441289793621443,2.3298385149234675,1.650288894766415,,,,,,
PP_4864,,,,,3.2638218744405307,3.214770721850171,,,,,,,,,,,,,,,,,,,,,,
PP_4923,,,,,1.170920603189798,1.3455572379002076,,,,,,,1.8261524161055704,1.7168203792182064,,,,,,,,,,,,,,
PP_4959,,,,,2.7487256316396596,18.114038369461078,,,,,,,,,,,,,,,,,,,,,,
PP_5099,,,,,1.8945227369079165,10.252786281016645,,,,,1.9448563966767392,6.9566026408509,,,,,,,,,,,,,,,,
PP_5200,,,,,-1.2050075570736631,2.41913940285434,,,,,,,,,,,,,,,,,,,,,,
PP_5269,,,,,1.9644479017250613,2.8295992924595805,,,,,,,,,,,,,,,,,,,,,,
PP_5270,,,,,1.7344366431320077,1.8272252852886695,,,,,,,,,,,2.098869766456359,1.5478440684203862,,,,,,,1.499253556634676,1.4670707669025764,,
PP_0155,,,,,,,4.272828229880421,2.1299737542636072,4.286557352369205,2.2425689850305788,3.890395409584823,2.2584880612933276,,,,,,,,,,,,,2.976933241987675,2.206094429642011,,
PP_1206,,,,,,,1.0005750828220705,7.515093070893582,1.1108292218410094,4.6061577922475205,,,,,,,,,,,1.0293936294239068,7.909698850828592,,,,,,
PP_1352,,,,,,,-1.0595921339657954,2.6949014004048673,,,,,,,,,,,,,,,,,,,,
PP_1506,,,,,,,1.206536694159942,13.863300075493154,1.3478045918499006,3.84998342625845,1.1789772611313045,7.104203656242485,,,,,,,,,,,,,,,,
PP_1599,,,,,,,-1.1626783674938235,1.5686632134670282,,,-1.3998734254497647,4.455338275776707,,,,,-1.6426461960680638,1.9573501848366823,,,-1.1127471551949295,9.452911045776924,-1.0085765387700472,3.2045576134223355,,,,
