,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
132,PP_0813_PP_1769-R2,2,False,PP_0813_PP_1769,2,362.5414,6264944.17,1.7064243888999207,PP_0813,PP_1769,,,253520.9,725106.1,,,2820323.063333333,1012275.7325,,,0.08989073035497014,0.7163128352481768,,,False,True,True,False,False,False,False,False,True,False,False
133,PP_0812_PP_4189-R2,2,False,PP_0812_PP_4189,2,391.0815,4192853.2,1.1420352305481243,PP_0812,PP_4189,,,133191.0,11350689.8,,,2931757.7608333337,25916447.480833337,,,0.045430424634449094,0.43797244234166244,,,False,True,True,True,False,False,True,True,True,True,True
134,PP_2136_PP_4189-R2,2,False,PP_2136_PP_4189,2,16.7317,1465700.0,0.3992224286350845,PP_2136,PP_4189,,,0.0,6221176.2,,,2749908.395,25916447.480833337,,,0.0,0.2400474140833117,,,False,True,True,True,False,False,True,True,False,False,False
135,Control_P3-R2,2,True,Control,0,169.6163,1704136.2,0.4641668775936168,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,False,False,False
136,PP_0437_PP_0814-R3,3,False,PP_0437_PP_0814,2,328.6468,5677358.4,1.5463797562119108,PP_0437,PP_0814,,,0.0,0.0,,,61460.84166666667,176130.7333333333,,,0.0,0.0,,,False,True,True,True,False,False,True,False,True,False,False
137,PP_0814_PP_4189-R3,3,False,PP_0814_PP_4189,2,397.8042,4759216.0,1.2962992221593452,PP_0814,PP_4189,,,63231.7,11396971.9,,,176130.7333333333,25916447.480833337,,,0.3590043532058195,0.43975826194653794,,,False,True,True,True,False,False,True,False,True,False,False
138,PP_0812_PP_0814-R3,3,False,PP_0812_PP_0814,2,313.8833,3029675.8,0.8252128886217798,PP_0812,PP_0814,,,0.0,0.0,,,2931757.7608333337,176130.7333333333,,,0.0,0.0,,,False,True,True,True,False,False,True,True,True,True,True
139,PP_0814_PP_2136-R3,3,False,PP_0814_PP_2136,2,303.1426,2065009.5,0.5624603314078744,PP_0814,PP_2136,,,0.0,0.0,,,176130.7333333333,2749908.395,,,0.0,0.0,,,False,True,True,True,False,False,True,False,True,False,False
140,PP_0813_PP_1769-R3,3,False,PP_0813_PP_1769,2,312.7704,6408520.7,1.7455312804886485,PP_0813,PP_1769,,,106190.0,554818.2,,,2820323.063333333,1012275.7325,,,0.037651714933144675,0.5480899938495759,,,False,True,True,False,False,False,False,False,True,False,False
141,PP_0812_PP_4189-R3,3,False,PP_0812_PP_4189,2,397.4022,3176535.7,0.8652140934707295,PP_0812,PP_4189,,,0.0,10941501.8,,,2931757.7608333337,25916447.480833337,,,0.0,0.4221837043094681,,,False,True,True,True,False,False,True,True,True,True,True
142,PP_2136_PP_4189-R3,3,False,PP_2136_PP_4189,2,199.9175,0.0,0.0,PP_2136,PP_4189,,,0.0,4216037.3,,,2749908.395,25916447.480833337,,,0.0,0.1626780562080507,,,False,False,True,True,False,False,True,True,False,False,False
143,Control_P3-R3,3,True,Control,0,163.3377,366300.7,0.09977175074348878,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,True,False,False,False
