Protein.Group,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
PP_0483,0.01702183375,0.042669295555555556,1.3258118268037915,0.0016806645142433151,2.7745189695788683
PP_0485,0.04071743383333334,0.04173433633333333,0.035588188917013396,0.7265391051669399,0.13874100531481334
PP_0490,0.0039938268333333336,0.004273572,0.09767064780122414,0.8769858542321832,0.05700741174051769
PP_0493,0.0043479005,0.0034353373333333333,-0.33986715363201786,0.28197807094225785,0.5497846648688752
PP_0494,0.0037174455,0.0057241006666666665,0.6227374525354887,0.282666959299615,0.5487249528563134
PP_0500,0.009118263083333333,0.012064858555555556,0.4039800619088238,0.08384153541452465,1.0765407769258353
PP_0501,0.009564628583333333,0.008166620888888889,-0.22796969004358555,0.29562413062489235,0.5292601190948308
PP_0504,0.009663805333333334,0.006135450666666667,-0.6554220755401415,0.1691610357791456,0.7716996643161621
PP_0510,0.022378080916666668,0.024555041333333333,0.13393293099639064,0.6030121303713865,0.21967395137499238
PP_0512,0.012316895916666667,0.014863593222222221,0.2711442083036793,0.06493628117138132,1.1875125865599387
PP_0514,0.00357363125,0.005156562444444445,0.5290188565064026,0.2810979633612155,0.5511423009745229
PP_0515,0.004532242083333333,0.006439682777777778,0.5067646994179142,0.1575886479414687,0.8024750705644065
PP_0516,0.03437463833333333,0.018001273888888888,-0.9332455297586124,0.00010682838561863566,3.9713133345773075
PP_0517,0.11979508300000001,0.1330713017777778,0.15163077868051386,0.2217018100818447,0.6542307610788007
PP_0518,0.03728519933333333,0.04921645188888889,0.40053760036319713,0.00217847714010133,2.661846992983191
PP_0522,0.009949925666666666,0.011133319666666667,0.16212617819821643,0.4896381044088882,0.31012479206636956
PP_0527,0.023646436833333336,0.07300316177777778,1.626336141445842,2.2837051812689633e-06,5.641359962778354
PP_0528,0.005957493833333333,0.00843294711111111,0.5013313532546713,0.1869998617090036,0.7281587146348317
PP_0529,0.007998826166666667,0.008599474222222223,0.10446015611537823,0.7167683589283522,0.14462117444821565
PP_0538,0.22673215666666668,0.10466086422222222,-1.115266941258847,2.4114309856581426e-05,4.6177251629259
PP_0541,0.045110057749999995,0.05441242366666667,0.2704869581069607,0.14056523593923162,0.8521220740998121
PP_0542,0.015098696750000001,0.012370237333333332,-0.28755084824059673,0.15844391665558302,0.8001244305893597
PP_0543,0.008418134666666667,0.01416784988888889,0.7510483375788127,0.08056285276075129,1.0938651636520975
PP_0544,0.004024829666666667,0.003916987555555555,-0.0391831839645809,0.9188737939651792,0.03674413425960357
PP_0545,0.04419319333333333,0.04879909344444444,0.1430301648300179,0.5587319206721822,0.2527965164404797
PP_0547,0.030110500083333335,0.07865539966666667,1.3852791406375866,0.001382889413526609,2.859212548029101
PP_0550,0.010090418666666667,0.01087182088888889,0.10760755802056228,0.7626096956346845,0.11769767751255195
PP_0558,0.07743036041666666,0.0793099341111111,0.03460222714782247,0.7867600362324091,0.10415770834158837
PP_0559,0.09021602966666666,0.07182122655555556,-0.3289735042198846,0.017449782512702076,1.7582099815484682
PP_0560,0.010409763666666667,0.009728495666666667,-0.09764867438737507,0.8125080666046358,0.0901723186389457
PP_0564,0.03793386183333333,0.024698510333333333,-0.6190622221012803,3.2896413194445507e-06,5.482851452043312
PP_0567,0.020377544,0.027722010000000002,0.44405168327796884,0.012480314849088429,1.9037744582836476
PP_0570,0.004494506166666666,0.01440062711111111,1.6798971251647896,2.1664147415935907e-06,5.664258397783092
PP_0576,0.006842345916666667,0.002324873333333333,-1.5573389261513013,0.0015116645261480071,2.820544578284585
PP_0578,0.004503735666666666,0.007386648333333333,0.7137977396326128,0.290048105488536,0.5375299668747561
PP_0581,0.009667515833333333,0.006700441111111111,-0.5288891462887746,0.07026770320860345,1.1532442417115567
PP_0584,0.012462074250000002,0.03204309366666666,1.3624692247134111,1.647868291568634e-05,4.7830775029124535
PP_0591,0.018511789333333334,0.016254942666666668,-0.18756588412578049,0.39744467565837027,0.4007233166389362
PP_0592,0.019979438083333332,0.023171319777777775,0.2138242104135735,0.38658220167930457,0.412758144850666
PP_0596,0.012272463666666665,0.02364559366666667,0.9461464682675335,0.03596662435496605,1.4441003209472867
PP_0597,0.01051673825,0.01687400811111111,0.6821153756930017,0.04334261541167579,1.363084885711457
PP_0599,0.00493945225,0.013070894333333333,1.403934885005994,2.1287661304093406e-05,4.671872048214909
PP_0602,0.010092926583333333,0.018201431444444444,0.8507073506311736,0.0003746856827575279,3.4263329015637876
PP_0603,0.0837408395,0.093994515,0.16664519040819675,0.16215381071014423,0.7900728406947319
PP_0606,0.024931067,0.023967651333333333,-0.056856087003493344,0.6642814792294803,0.17764785591396134
PP_0612,0.011776126916666666,0.023016028777777777,0.9667738048741852,0.00035540307412819486,3.4492788199996602
PP_0613,0.0022832856666666667,0.005763377444444445,1.3358031356686346,0.18751983506752726,0.7269527876441615
PP_0614,0.00189156475,0.004126693444444444,1.1254061082695814,0.24617030430402,0.6087643374921788
PP_0616,0.00030712733333333335,0.0025726613333333335,3.0663527340340258,0.13171309744446627,0.8803710369969334
PP_0619,0.0011328126666666665,0.004006056555555556,1.8222734862869043,0.07784944981361777,1.1087444523797936
PP_0622,0.046067768,0.04535663677777778,-0.022444033008733436,0.8100826216889341,0.09147068443778568
PP_0624,0.008193164333333334,0.018643419666666668,1.1861738535061763,0.02085449259761429,1.6808003723363454
PP_0625,0.16587866391666667,0.15852681933333335,-0.06540139806673033,0.6188540095393289,0.20841179093045023
PP_0626,0.007678907500000001,0.002486363111111111,-1.6268640647276407,0.005617676950411605,2.2504432389129283
PP_0631,0.009625977249999999,0.0029137047777777775,-1.7240783055003075,2.1166683488155084e-05,4.674347184287056
PP_0640,0.013424029916666668,0.009344816333333334,-0.5225796220001089,0.05375384144872227,1.2695904940101428
PP_0657,0.01998266933333333,0.01995560277777778,-0.00195545722877293,0.9912624171935125,0.003811359386978653
PP_0658,0.029390297583333332,0.027007141666666665,-0.1219990081121716,0.46468071887732343,0.33284534744561345
PP_0671,0.15074830375,0.1678075451111111,0.15466581624107528,0.0019016573308167318,2.720867738052053
PP_0674,0.073905005,0.08527058244444445,0.20637604106970145,0.001239581760515812,2.906724822692204
PP_0675,0.025547367916666664,0.020372982666666664,-0.3265174507381242,0.14347478874876943,0.8432244060325551
