Line Name,Measurement Type,Value,Time,Units
PP_0368,sp|Q88D43,9949.98,24,counts
PP_0368,sp|Q88D65,9949.98,24,counts
PP_0368,sp|Q88D86,9949.98,24,counts
PP_0368,sp|Q88DG7,9949.98,24,counts
PP_0368,sp|Q88DJ7,9949.98,24,counts
PP_0368,sp|Q88DN9,9949.98,24,counts
PP_0368,sp|Q88E25,9949.98,24,counts
PP_0368,sp|Q88E37,9949.98,24,counts
PP_0368,sp|Q88E52,9949.98,24,counts
PP_0368,sp|Q88E73,9949.98,24,counts
PP_0368,sp|Q88E76,9949.98,24,counts
PP_0368,sp|Q88E87,9949.98,24,counts
PP_0368,sp|Q88EA5,9949.98,24,counts
PP_0368,sp|Q88EB3,9949.98,24,counts
PP_0368,sp|Q88EF2,9949.98,24,counts
PP_0368,sp|Q88EG3,9949.98,24,counts
PP_0368,sp|Q88EG8,9949.98,24,counts
PP_0368,sp|Q88EI1,9949.98,24,counts
PP_0368,sp|Q88EZ2,9949.98,24,counts
PP_0368,sp|Q88F03,9949.98,24,counts
PP_0368,sp|Q88F11,9949.98,24,counts
PP_0368,sp|Q88FA1,9949.98,24,counts
PP_0368,sp|Q88FF1,9949.98,24,counts
PP_0368,sp|Q88FF4,9949.98,24,counts
PP_0368,sp|Q88FG7,9949.98,24,counts
PP_0368,sp|Q88FH7,9949.98,24,counts
PP_0368,sp|Q88FI2,9949.98,24,counts
PP_0368,sp|Q88FJ8,9949.98,24,counts
PP_0368,sp|Q88FT5,9949.98,24,counts
PP_0368,sp|Q88FT7,9949.98,24,counts
PP_0368,sp|Q88FZ2,9949.98,24,counts
PP_0368,sp|Q88G30,9949.98,24,counts
PP_0368,sp|Q88G97,9949.98,24,counts
PP_0368,sp|Q88GD8,9949.98,24,counts
PP_0368,sp|Q88GI3,9949.98,24,counts
PP_0368,sp|Q88GI4,9949.98,24,counts
PP_0368,sp|Q88GK1,9949.98,24,counts
PP_0368,sp|Q88GQ3,9949.98,24,counts
