Protein,PC1,PC2
Mreb,-0.006897008827928435,0.009428481146164795
Mrec,-0.029928235999137454,-0.029714532046121053
Msba,-0.006186744959423692,-0.006395976819637806
Mscl,-0.021678118860742022,0.02295934570388403
Msra,-0.008096356954631253,0.028057883582732628
Mtna,-0.004321016524617858,-0.004010051265030872
Mura,-0.004988877561498949,0.013231938113311645
Murb,-0.029123880860921592,-0.01997615612156577
Murc,-0.02859487194919858,-0.025226705311825966
Murd,-0.03329282138289259,0.007745641353008465
Mure,-0.024823056468343385,0.020049211110579192
Murf,-0.03449870105865932,-0.0025257925690385517
Murg,-0.0296749143611192,0.016763257870392664
Mutl,-0.010720846537926427,-0.02108660401839462
Mutm,-0.014973049429603117,-0.003091933210394887
Muts,-0.015501501662523195,-0.027623119824646228
Mvas,-0.021890772151572223,-0.01576295759004983
